,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack FPR,Salem Attack Precision,Salem Attack Recall,Salem Attack FPR,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack FPR
Train Acc. Target,0.9848,,,,,,,,
Test Acc. Target,0.5969,,,,,,,,
ECE Target,0.2509,,,,,,,,
Train Acc. Shadow,0.9708,,,,,,,,
Test Acc. Shadow,0.5741,,,,,,,,
ECE Target,0.2751,,,,,,,,
