,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.5913,0.5666,0.6184,0.5929,0.8887,0.3916,0.8852,0.8634,0.4602,0.4265,0.5941,0.5539,0.6186,0.5932,0.8805,0.3785,0.8885,0.8678,0.4682,0.4331,0.6050,0.5068,0.6140,0.5899,0.9121,0.3309,0.8947,0.8769,0.5020,0.4595
Fake Dogs,0.5243,0.5666,0.6002,0.5662,0.9460,0.4232,0.8852,0.8476,0.4602,0.4605,0.5350,0.5539,0.6037,0.5696,0.9468,0.3964,0.8885,0.8568,0.4682,0.4717,0.5360,0.5068,0.5776,0.5539,0.9812,0.3612,0.8947,0.8587,0.5020,0.4918
AFHQ-Dogs,0.3834,0.5666,0.6130,0.4197,0.9405,0.3957,0.8852,0.8505,0.4602,0.4555,0.3916,0.5539,0.6156,0.4229,0.9359,0.3737,0.8885,0.8581,0.4682,0.4648,0.3963,0.5068,0.5953,0.4101,0.9688,0.3353,0.8947,0.8604,0.5020,0.4864
AFHQ-Cats,0.4556,0.5666,0.7123,0.4876,0.8024,0.2703,0.8852,0.8448,0.4602,0.3858,0.4483,0.5539,0.7092,0.4783,0.7858,0.2723,0.8885,0.8414,0.4682,0.3858,0.5349,0.5068,0.7416,0.5174,0.8121,0.1760,0.8947,0.8936,0.5020,0.4279
AFHQ-Wilds,0.3115,0.5666,0.4946,0.2775,0.9335,0.5439,0.8852,0.9060,0.4602,0.4323,0.3099,0.5539,0.4926,0.2761,0.9316,0.5359,0.8885,0.9083,0.4682,0.4379,0.3231,0.5068,0.5040,0.2821,0.9517,0.4612,0.8947,0.9325,0.5020,0.4824
AFHQ-NonDogs,0.2270,0.5666,0.6080,0.2057,0.8652,0.4014,0.8852,0.8845,0.4602,0.4028,0.2243,0.5539,0.6054,0.2033,0.8556,0.3985,0.8885,0.8845,0.4682,0.4051,0.2522,0.5068,0.6278,0.2150,0.8790,0.3126,0.8947,0.9211,0.5020,0.4484
Permuted,0.5428,0.5666,0.5812,0.5976,0.9130,0.4772,0.8852,0.8481,0.4602,0.4447,0.5660,0.5539,0.5936,0.6094,0.8984,0.4247,0.8885,0.8638,0.4682,0.4699,0.4906,0.5068,0.5260,0.5599,0.9082,0.5262,0.8947,0.8167,0.5020,0.4377
Scaled,0.3622,0.5666,0.0040,0.3076,1.0000,0.9976,0.8852,0.9992,0.4602,0.6074,0.3568,0.5539,0.0037,0.3075,1.0000,0.9985,0.8885,0.9988,0.4682,0.5668,0.3363,0.5068,0.0025,0.3071,1.0000,1.0000,0.8947,0.9982,0.5020,0.0000
No Normalization,0.9067,0.5666,0.8638,0.8798,0.6195,0.0583,0.8852,0.7813,0.4602,0.3291,0.8756,0.5539,0.8636,0.8727,0.5394,0.0787,0.8885,0.7446,0.4682,0.3222,0.9675,0.5068,0.9182,0.9267,0.4747,0.0170,0.8947,0.8813,0.5020,0.3464
