,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6844,0.8387,0.7815,0.7157,0.6205,0.3868,0.9402,0.9137,0.6299,0.4889,0.6788,0.8460,0.7838,0.7194,0.5943,0.4004,0.9394,0.9085,0.6174,0.4886,0.6539,0.8703,0.7704,0.7096,0.6492,0.4606,0.9310,0.8747,0.6094,0.4678
Fake Dogs,0.7370,0.8348,0.8750,0.8472,0.5060,0.2452,0.9404,0.8795,0.6259,0.5056,0.7406,0.8450,0.8782,0.8497,0.4628,0.2436,0.9370,0.8751,0.6212,0.5069,0.6755,0.8669,0.8526,0.8326,0.6408,0.3428,0.9317,0.8159,0.6020,0.4815
AFHQ-Dogs,0.5468,0.8367,0.8428,0.6589,0.5484,0.3011,0.9417,0.8907,0.6215,0.5031,0.5489,0.8508,0.8477,0.6616,0.5389,0.3037,0.9383,0.8874,0.6233,0.5030,0.4854,0.8707,0.8234,0.6408,0.6430,0.4009,0.9320,0.8300,0.6118,0.4772
AFHQ-Cats,0.7402,0.8392,0.9314,0.8664,0.3336,0.1176,0.9404,0.8634,0.6255,0.4475,0.7136,0.8499,0.9313,0.8655,0.3260,0.1362,0.9369,0.8430,0.6162,0.4450,0.7038,0.8693,0.9302,0.8697,0.3573,0.1461,0.9326,0.8265,0.6117,0.4417
AFHQ-Wilds,0.5813,0.8387,0.8632,0.7051,0.4958,0.2623,0.9414,0.8862,0.6242,0.4788,0.5637,0.8494,0.8601,0.7040,0.4884,0.2856,0.9391,0.8735,0.6257,0.4734,0.5474,0.8664,0.8584,0.7080,0.5424,0.3111,0.9305,0.8455,0.6066,0.4680
AFHQ-NonDogs,0.4787,0.8397,0.8993,0.6575,0.4057,0.1903,0.9419,0.8789,0.6261,0.4617,0.4597,0.8479,0.8971,0.6492,0.4002,0.2074,0.9382,0.8620,0.6191,0.4568,0.4433,0.8693,0.8958,0.6556,0.4346,0.2272,0.9307,0.8373,0.6124,0.4519
Permuted,1.0000,0.8421,0.9988,0.9990,0.0000,0.0000,0.9419,0.0000,0.6270,0.1977,1.0000,0.8465,0.9982,0.9984,0.0015,0.0000,0.9375,0.0000,0.6173,0.1965,1.0000,0.8693,0.9998,0.9998,0.0000,0.0000,0.9307,0.0000,0.6042,0.1967
Scaled,1.0000,0.8416,1.0000,1.0000,0.0000,0.0000,0.9415,0.0000,0.6217,0.0803,1.0000,0.8484,1.0000,1.0000,0.0000,0.0000,0.9374,0.0000,0.6133,0.0799,1.0000,0.8732,1.0000,1.0000,0.0000,0.0000,0.9306,0.0000,0.6087,0.0803
No Normalization,0.9874,0.8348,0.9882,0.9890,0.0569,0.0107,0.9427,0.8285,0.6209,0.2960,0.9771,0.8499,0.9865,0.9871,0.0627,0.0199,0.9375,0.7702,0.6162,0.2922,0.9906,0.8673,0.9917,0.9922,0.0335,0.0083,0.9325,0.8301,0.6129,0.2967
