,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.7732,0.8183,0.8563,0.8156,0.4018,0.2400,0.9338,0.9200,0.7545,0.4907,0.7636,0.8571,0.8624,0.8228,0.4072,0.2653,0.9286,0.9092,0.7371,0.4798,0.7633,0.8256,0.8541,0.8132,0.4091,0.2561,0.9330,0.9151,0.7509,0.4831
Fake Dogs,0.8609,0.8183,0.9304,0.8954,0.2288,0.1088,0.9338,0.9143,0.7545,0.4510,0.8605,0.8571,0.9390,0.9124,0.2292,0.1144,0.9286,0.9036,0.7371,0.4495,0.8461,0.8256,0.9261,0.8898,0.2456,0.1236,0.9330,0.9050,0.7509,0.4445
AFHQ-Dogs,0.6739,0.8183,0.8949,0.7276,0.2942,0.1720,0.9338,0.9206,0.7545,0.4577,0.6872,0.8571,0.9075,0.7577,0.2899,0.1694,0.9286,0.9164,0.7371,0.4599,0.6562,0.8256,0.8894,0.7185,0.3136,0.1878,0.9330,0.9135,0.7509,0.4503
AFHQ-Cats,0.9177,0.8183,0.9778,0.9400,0.0856,0.0293,0.9338,0.9032,0.7545,0.3536,0.9116,0.8571,0.9792,0.9438,0.0848,0.0332,0.9286,0.8931,0.7371,0.3517,0.9134,0.8256,0.9786,0.9404,0.0825,0.0312,0.9330,0.8997,0.7509,0.3526
AFHQ-Wilds,0.7851,0.8183,0.9323,0.7800,0.1878,0.0973,0.9338,0.9273,0.7545,0.3843,0.7921,0.8571,0.9389,0.7991,0.1792,0.0977,0.9286,0.9229,0.7371,0.3846,0.7754,0.8256,0.9310,0.7758,0.1883,0.1038,0.9330,0.9221,0.7509,0.3810
AFHQ-NonDogs,0.7334,0.8183,0.9560,0.7463,0.1346,0.0619,0.9338,0.9214,0.7545,0.3678,0.7356,0.8571,0.9599,0.7663,0.1300,0.0641,0.9286,0.9148,0.7371,0.3669,0.7224,0.8256,0.9558,0.7424,0.1332,0.0660,0.9330,0.9165,0.7509,0.3656
Permuted,0.4984,0.8183,0.2575,0.3605,0.8761,0.8236,0.9338,0.9781,0.7545,0.5521,0.5205,0.8571,0.3561,0.3979,0.8931,0.7896,0.9286,0.9792,0.7371,0.6169,0.4838,0.8256,0.2178,0.3493,0.9169,0.8810,0.9330,0.9639,0.7509,0.4521
Scaled,0.4625,0.8183,0.0624,0.3184,0.9674,0.9509,0.9338,0.9969,0.7545,0.6757,0.4733,0.8571,0.0778,0.3211,0.9947,0.9538,0.9286,0.9907,0.7371,0.7837,0.4522,0.8256,0.0303,0.3111,1.0000,1.0000,0.9330,0.9812,0.7509,0.0000
No Normalization,0.9935,0.8183,0.9942,0.9943,0.0204,0.0053,0.9338,0.8821,0.7545,0.2595,0.9932,0.8571,0.9944,0.9947,0.0228,0.0058,0.9286,0.8793,0.7371,0.2592,0.9930,0.8256,0.9951,0.9948,0.0180,0.0058,0.9330,0.8799,0.7509,0.2592
