,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6396,0.6555,0.6980,0.6376,0.7400,0.3693,0.1601,0.1557,0.0597,0.0483,0.6848,0.8508,0.7960,0.7587,0.5923,0.3916,0.1331,0.1349,0.0819,0.0577,0.5945,0.4738,0.6084,0.5729,0.8673,0.3231,0.1829,0.1622,0.0738,0.0525
Fake Dogs,0.5383,0.6555,0.6325,0.5779,0.9040,0.4628,0.1601,0.1386,0.0597,0.0573,0.7429,0.8508,0.8939,0.8815,0.4488,0.2424,0.1331,0.1493,0.0819,0.0775,0.3845,0.4738,0.3950,0.4025,0.9920,0.6244,0.1829,0.1199,0.0738,0.0534
AFHQ-Dogs,0.4004,0.6555,0.6502,0.4107,0.8658,0.4263,0.1601,0.1502,0.0597,0.0550,0.5628,0.8508,0.8702,0.7595,0.4969,0.2870,0.1331,0.1457,0.0819,0.0754,0.2818,0.4738,0.4561,0.2842,0.9846,0.5244,0.1829,0.1340,0.0738,0.0533
AFHQ-Cats,0.7191,0.6555,0.8812,0.7736,0.5032,0.1023,0.1601,0.1102,0.0597,0.0434,0.7038,0.8508,0.9179,0.8231,0.3613,0.1430,0.1331,0.0816,0.0819,0.0450,0.6011,0.4738,0.7696,0.6087,0.7502,0.1256,0.1829,0.0991,0.0738,0.0432
AFHQ-Wilds,0.5353,0.6555,0.7728,0.5752,0.7085,0.2472,0.1601,0.1324,0.0597,0.0495,0.5290,0.8508,0.8047,0.5305,0.5291,0.3290,0.1331,0.1029,0.0819,0.0538,0.4599,0.4738,0.6736,0.4759,0.8360,0.2417,0.1829,0.1249,0.0738,0.0525
AFHQ-NonDogs,0.4427,0.6555,0.8293,0.5072,0.6016,0.1717,0.1601,0.1255,0.0597,0.0460,0.4327,0.8508,0.8637,0.4756,0.4417,0.2321,0.1331,0.0961,0.0819,0.0487,0.3524,0.4738,0.7236,0.3776,0.7913,0.1812,0.1829,0.1156,0.0738,0.0473
Permuted,0.4157,0.6555,0.2586,0.3724,0.9830,0.9213,0.1601,0.2059,0.0597,0.0599,0.5601,0.8508,0.7223,0.7445,0.8372,0.6681,0.1331,0.2328,0.0819,0.1171,0.3281,0.4738,0.1347,0.3327,1.0000,0.9704,0.1829,0.1990,0.0738,0.0442
Scaled,0.3959,0.6555,0.0000,0.3069,1.0000,1.0000,0.1601,0.9866,0.0597,0.0000,0.9870,0.8508,0.9966,0.9963,0.0180,0.0112,0.1331,0.5806,0.0819,0.9912,0.3215,0.4738,0.0000,0.3069,1.0000,1.0000,0.1829,0.9866,0.0738,0.0000
No Normalization,0.9963,0.6555,0.9876,0.9889,0.0573,0.0024,0.1601,0.0878,0.0597,0.0280,0.9595,0.8508,0.9669,0.9698,0.1375,0.0360,0.1331,0.0498,0.0819,0.0273,0.9980,0.4738,0.9688,0.9732,0.1414,0.0010,0.1829,0.0781,0.0738,0.0281
