,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack FPR,Salem Attack Precision,Salem Attack Recall,Salem Attack FPR,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack FPR
Train Acc. Target,0.9845,,,,,,,,
Test Acc. Target,0.5962,,,,,,,,
ECE Target,0.0992,,,,,,,,
Train Acc. Shadow,0.9701,,,,,,,,
Test Acc. Shadow,0.5700,,,,,,,,
ECE Target,0.1060,,,,,,,,
