,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6830,0.8397,0.7812,0.7268,0.6059,0.3897,0.9992,0.9985,0.8893,0.7580,0.6748,0.8581,0.7829,0.7228,0.6040,0.4135,0.9990,0.9979,0.8763,0.7486,0.6822,0.8450,0.7822,0.7150,0.6059,0.3936,0.9992,0.9984,0.8858,0.7565
Fake Dogs,0.7215,0.8397,0.8587,0.8167,0.5268,0.2668,0.9992,0.9979,0.8893,0.7724,0.7078,0.8581,0.8612,0.8196,0.5256,0.2916,0.9990,0.9971,0.8763,0.7648,0.7168,0.8450,0.8588,0.8172,0.5352,0.2748,0.9992,0.9977,0.8858,0.7700
AFHQ-Dogs,0.5398,0.8397,0.8353,0.6432,0.5526,0.3108,0.9992,0.9980,0.8893,0.7661,0.5284,0.8581,0.8372,0.6387,0.5518,0.3326,0.9990,0.9974,0.8763,0.7589,0.5354,0.8450,0.8352,0.6277,0.5594,0.3184,0.9992,0.9978,0.8858,0.7636
AFHQ-Cats,0.7170,0.8397,0.9243,0.8574,0.3656,0.1324,0.9992,0.9972,0.8893,0.7208,0.6888,0.8581,0.9263,0.8579,0.3619,0.1549,0.9990,0.9959,0.8763,0.7137,0.7168,0.8450,0.9277,0.8596,0.3571,0.1333,0.9992,0.9972,0.8858,0.7205
AFHQ-Wilds,0.5378,0.8397,0.8269,0.6258,0.5382,0.3134,0.9992,0.9983,0.8893,0.7509,0.5284,0.8581,0.8278,0.6222,0.5420,0.3326,0.9990,0.9977,0.8763,0.7441,0.5374,0.8450,0.8286,0.6199,0.5388,0.3160,0.9992,0.9982,0.8858,0.7501
AFHQ-NonDogs,0.4436,0.8397,0.8776,0.5783,0.4483,0.2191,0.9992,0.9979,0.8893,0.7335,0.4266,0.8581,0.8792,0.5746,0.4482,0.2400,0.9990,0.9971,0.8763,0.7265,0.4433,0.8450,0.8802,0.5729,0.4441,0.2208,0.9992,0.9979,0.8858,0.7329
Permuted,0.5754,0.8397,0.6009,0.5488,0.7988,0.6195,0.9992,0.9990,0.8893,0.8288,0.5760,0.8581,0.6017,0.5375,0.8163,0.6317,0.9990,0.9988,0.8763,0.8235,0.5724,0.8450,0.5960,0.5262,0.8217,0.6312,0.9992,0.9989,0.8858,0.8238
Scaled,0.4593,0.8397,0.0497,0.3417,0.9956,0.9883,0.9992,1.0000,0.8893,0.8744,0.4647,0.8581,0.0331,0.3245,0.9971,0.9883,0.9990,1.0000,0.8763,0.8744,0.4609,0.8450,0.0192,0.3101,0.9971,0.9883,0.9992,1.0000,0.8858,0.8744
No Normalization,0.9697,0.8397,0.9731,0.9772,0.1234,0.0262,0.9992,0.9963,0.8893,0.6094,0.9603,0.8581,0.9762,0.9787,0.1254,0.0355,0.9990,0.9940,0.8763,0.6057,0.9704,0.8450,0.9797,0.9813,0.1069,0.0258,0.9992,0.9964,0.8858,0.6095
